Region/Country/Area,,Year,Series,Value
4,Afghanistan,2005,Population annual rate of increase (percent),4.214
4,Afghanistan,2005,Total fertility rate (children per women),7.1816
4,Afghanistan,2005,"Infant mortality for both sexes (per 1,000 live births)",84.647
4,Afghanistan,2005,"Maternal mortality ratio (deaths per 100,000 population)",820.901
4,Afghanistan,2005,Life expectancy at birth for both sexes (years),56.996
4,Afghanistan,2005,Life expectancy at birth for males (years),55.79
4,Afghanistan,2005,Life expectancy at birth for females (years),58.29
4,Afghanistan,2010,Population annual rate of increase (percent),2.579
4,Afghanistan,2010,Total fertility rate (children per women),6.4784
4,Afghanistan,2010,"Infant mortality for both sexes (per 1,000 live births)",72.193
4,Afghanistan,2010,"Maternal mortality ratio (deaths per 100,000 population)",583.8937
4,Afghanistan,2010,Life expectancy at birth for both sexes (years),59.632
4,Afghanistan,2010,Life expectancy at birth for males (years),58.34
4,Afghanistan,2010,Life expectancy at birth for females (years),61.02
4,Afghanistan,2015,Population annual rate of increase (percent),3.296
4,Afghanistan,2015,Total fertility rate (children per women),5.4467
4,Afghanistan,2015,"Infant mortality for both sexes (per 1,000 live births)",60.1
4,Afghanistan,2015,"Maternal mortality ratio (deaths per 100,000 population)",396.1373
4,Afghanistan,2015,Life expectancy at birth for both sexes (years),62.321
4,Afghanistan,2015,Life expectancy at birth for males (years),60.93
4,Afghanistan,2015,Life expectancy at birth for females (years),63.79
8,Albania,2005,Population annual rate of increase (percent),-0.273
8,Albania,2005,Total fertility rate (children per women),1.9465
8,Albania,2005,"Infant mortality for both sexes (per 1,000 live births)",21.153
8,Albania,2005,"Maternal mortality ratio (deaths per 100,000 population)",29.9805
8,Albania,2005,Life expectancy at birth for both sexes (years),74.822
8,Albania,2005,Life expectancy at birth for males (years),72.25
8,Albania,2005,Life expectancy at birth for females (years),77.75
8,Albania,2010,Population annual rate of increase (percent),-0.92
8,Albania,2010,Total fertility rate (children per women),1.64
8,Albania,2010,"Infant mortality for both sexes (per 1,000 live births)",16.781
8,Albania,2010,"Maternal mortality ratio (deaths per 100,000 population)",30.0993
8,Albania,2010,Life expectancy at birth for both sexes (years),75.639
8,Albania,2010,Life expectancy at birth for males (years),73.16
8,Albania,2010,Life expectancy at birth for females (years),78.54
8,Albania,2015,Population annual rate of increase (percent),-0.394
8,Albania,2015,Total fertility rate (children per women),1.7135
8,Albania,2015,"Infant mortality for both sexes (per 1,000 live births)",9.212
8,Albania,2015,"Maternal mortality ratio (deaths per 100,000 population)",28.5968
8,Albania,2015,Life expectancy at birth for both sexes (years),77.487
8,Albania,2015,Life expectancy at birth for males (years),75.21
8,Albania,2015,Life expectancy at birth for females (years),79.96
12,Algeria,2005,Population annual rate of increase (percent),1.314
12,Algeria,2005,Total fertility rate (children per women),2.3843
12,Algeria,2005,"Infant mortality for both sexes (per 1,000 live births)",33.62
12,Algeria,2005,"Maternal mortality ratio (deaths per 100,000 population)",148.1117
12,Algeria,2005,Life expectancy at birth for both sexes (years),71.827
12,Algeria,2005,Life expectancy at birth for males (years),70.47
12,Algeria,2005,Life expectancy at birth for females (years),73.24
12,Algeria,2010,Population annual rate of increase (percent),1.637
12,Algeria,2010,Total fertility rate (children per women),2.724
12,Algeria,2010,"Infant mortality for both sexes (per 1,000 live births)",29.398
12,Algeria,2010,"Maternal mortality ratio (deaths per 100,000 population)",147.2922
12,Algeria,2010,Life expectancy at birth for both sexes (years),74.169
12,Algeria,2010,Life expectancy at birth for males (years),72.95
12,Algeria,2010,Life expectancy at birth for females (years),75.43
12,Algeria,2015,Population annual rate of increase (percent),1.983
12,Algeria,2015,Total fertility rate (children per women),2.96
12,Algeria,2015,"Infant mortality for both sexes (per 1,000 live births)",24.94
12,Algeria,2015,"Maternal mortality ratio (deaths per 100,000 population)",139.6208
12,Algeria,2015,Life expectancy at birth for both sexes (years),75.513
12,Algeria,2015,Life expectancy at birth for males (years),74.36
12,Algeria,2015,Life expectancy at birth for females (years),76.71
16,American Samoa,2005,Population annual rate of increase (percent),0.547
16,American Samoa,2006,Life expectancy at birth for males (years),68.5
16,American Samoa,2006,Life expectancy at birth for females (years),76.2
16,American Samoa,2010,Population annual rate of increase (percent),-1.214
16,American Samoa,2011,Life expectancy at birth for males (years),71.0621
16,American Samoa,2011,Life expectancy at birth for females (years),77.7629
16,American Samoa,2012,"Infant mortality for both sexes (per 1,000 live births)",9.6
16,American Samoa,2013,Total fertility rate (children per women),2.6
16,American Samoa,2015,Population annual rate of increase (percent),-0.035
20,Andorra,2005,Population annual rate of increase (percent),3.748
20,Andorra,2005,Total fertility rate (children per women),1.2312
20,Andorra,2010,Population annual rate of increase (percent),1.368
20,Andorra,2010,Total fertility rate (children per women),1.246
20,Andorra,2012,Total fertility rate (children per women),1.151
20,Andorra,2015,Population annual rate of increase (percent),-1.586
24,Angola,2005,Population annual rate of increase (percent),3.4
24,Angola,2005,Total fertility rate (children per women),6.55
24,Angola,2005,"Infant mortality for both sexes (per 1,000 live births)",128.76
24,Angola,2005,"Maternal mortality ratio (deaths per 100,000 population)",705.2795
24,Angola,2005,Life expectancy at birth for both sexes (years),48.05
24,Angola,2005,Life expectancy at birth for males (years),45.9
24,Angola,2005,Life expectancy at birth for females (years),50.37
24,Angola,2010,Population annual rate of increase (percent),3.677
24,Angola,2010,Total fertility rate (children per women),6.35
24,Angola,2010,"Infant mortality for both sexes (per 1,000 live births)",104.21
24,Angola,2010,"Maternal mortality ratio (deaths per 100,000 population)",561.3088
24,Angola,2010,Life expectancy at birth for both sexes (years),52.686
24,Angola,2010,Life expectancy at birth for males (years),50.29
24,Angola,2010,Life expectancy at birth for females (years),55.26
24,Angola,2015,Population annual rate of increase (percent),3.544
24,Angola,2015,Total fertility rate (children per women),6
24,Angola,2015,"Infant mortality for both sexes (per 1,000 live births)",78.247
24,Angola,2015,"Maternal mortality ratio (deaths per 100,000 population)",476.9781
24,Angola,2015,Life expectancy at birth for both sexes (years),57.74
24,Angola,2015,Life expectancy at birth for males (years),55.15
24,Angola,2015,Life expectancy at birth for females (years),60.51
660,Anguilla,2004,Total fertility rate (children per women),2.91
