Region/Country/Area,,Year,Series,Value
4,Afghanistan,2005,Population mid-year estimates (millions),25.6543
4,Afghanistan,2005,Population mid-year estimates for males (millions),13.2397
4,Afghanistan,2005,Population mid-year estimates for females (millions),12.4146
4,Afghanistan,2005,Sex ratio (males per 100 females),106.6462
4,Afghanistan,2005,Population aged 0 to 14 years old (percentage),47.8596
4,Afghanistan,2005,Population aged 60+ years old (percentage),3.6579
4,Afghanistan,2005,Population density,39.2952
4,Afghanistan,2010,Population mid-year estimates (millions),29.1855
4,Afghanistan,2010,Population mid-year estimates for males (millions),14.9358
4,Afghanistan,2010,Population mid-year estimates for females (millions),14.2498
4,Afghanistan,2010,Sex ratio (males per 100 females),104.8141
4,Afghanistan,2010,Population aged 0 to 14 years old (percentage),48.1781
4,Afghanistan,2010,Population aged 60+ years old (percentage),3.874
4,Afghanistan,2010,Population density,44.7041
4,Afghanistan,2017,Population mid-year estimates (millions),36.2961
4,Afghanistan,2017,Population mid-year estimates for males (millions),18.652
4,Afghanistan,2017,Population mid-year estimates for females (millions),17.6441
4,Afghanistan,2017,Sex ratio (males per 100 females),105.7122
4,Afghanistan,2017,Population aged 0 to 14 years old (percentage),43.6825
4,Afghanistan,2017,Population aged 60+ years old (percentage),4.0661
4,Afghanistan,2017,Population density,55.5956
4,Afghanistan,2017,Surface area (thousand km2),652.864
4,Afghanistan,2019,Population mid-year estimates (millions),38.0418
4,Afghanistan,2019,Population mid-year estimates for males (millions),19.5297
4,Afghanistan,2019,Population mid-year estimates for females (millions),18.512
4,Afghanistan,2019,Sex ratio (males per 100 females),105.4975
4,Afghanistan,2019,Population aged 0 to 14 years old (percentage),42.4723
4,Afghanistan,2019,Population aged 60+ years old (percentage),4.1655
4,Afghanistan,2019,Population density,58.2694
8,Albania,2005,Population mid-year estimates (millions),3.0868
8,Albania,2005,Population mid-year estimates for males (millions),1.552
8,Albania,2005,Population mid-year estimates for females (millions),1.5348
8,Albania,2005,Sex ratio (males per 100 females),101.1167
8,Albania,2005,Population aged 0 to 14 years old (percentage),26.5009
8,Albania,2005,Population aged 60+ years old (percentage),12.2865
8,Albania,2005,Population density,112.6573
8,Albania,2010,Population mid-year estimates (millions),2.948
8,Albania,2010,Population mid-year estimates for males (millions),1.4851
8,Albania,2010,Population mid-year estimates for females (millions),1.463
8,Albania,2010,Sex ratio (males per 100 females),101.5111
8,Albania,2010,Population aged 0 to 14 years old (percentage),22.4551
8,Albania,2010,Population aged 60+ years old (percentage),14.9649
8,Albania,2010,Population density,107.5921
8,Albania,2017,Population mid-year estimates (millions),2.8842
8,Albania,2017,Population mid-year estimates for males (millions),1.4696
8,Albania,2017,Population mid-year estimates for females (millions),1.4146
8,Albania,2017,Sex ratio (males per 100 females),103.8886
8,Albania,2017,Population aged 0 to 14 years old (percentage),18.0283
8,Albania,2017,Population aged 60+ years old (percentage),19.0889
8,Albania,2017,Population density,105.2616
8,Albania,2017,Surface area (thousand km2),28.748
8,Albania,2019,Population mid-year estimates (millions),2.8809
8,Albania,2019,Population mid-year estimates for males (millions),1.4668
8,Albania,2019,Population mid-year estimates for females (millions),1.4141
8,Albania,2019,Sex ratio (males per 100 females),103.7236
8,Albania,2019,Population aged 0 to 14 years old (percentage),17.3996
8,Albania,2019,Population aged 60+ years old (percentage),20.4779
8,Albania,2019,Population density,105.143
12,Algeria,2005,Population mid-year estimates (millions),33.1497
12,Algeria,2005,Population mid-year estimates for males (millions),16.766
12,Algeria,2005,Population mid-year estimates for females (millions),16.3837
12,Algeria,2005,Sex ratio (males per 100 females),102.3336
12,Algeria,2005,Population aged 0 to 14 years old (percentage),29.1927
12,Algeria,2005,Population aged 60+ years old (percentage),7.0221
12,Algeria,2005,Population density,13.9183
12,Algeria,2010,Population mid-year estimates (millions),35.9775
12,Algeria,2010,Population mid-year estimates for males (millions),18.1614
12,Algeria,2010,Population mid-year estimates for females (millions),17.8161
12,Algeria,2010,Sex ratio (males per 100 females),101.938
12,Algeria,2010,Population aged 0 to 14 years old (percentage),27.2828
12,Algeria,2010,Population aged 60+ years old (percentage),7.7953
12,Algeria,2010,Population density,15.1055
12,Algeria,2017,Population mid-year estimates (millions),41.3892
12,Algeria,2017,Population mid-year estimates for males (millions),20.9068
12,Algeria,2017,Population mid-year estimates for females (millions),20.4824
12,Algeria,2017,Sex ratio (males per 100 females),102.0717
12,Algeria,2017,Population aged 0 to 14 years old (percentage),29.6396
12,Algeria,2017,Population aged 60+ years old (percentage),9.305
12,Algeria,2017,Population density,17.3777
12,Algeria,2017,Surface area (thousand km2),2381.741
12,Algeria,2019,Population mid-year estimates (millions),43.0531
12,Algeria,2019,Population mid-year estimates for males (millions),21.7497
12,Algeria,2019,Population mid-year estimates for females (millions),21.3034
12,Algeria,2019,Sex ratio (males per 100 females),102.0949
12,Algeria,2019,Population aged 0 to 14 years old (percentage),30.5504
12,Algeria,2019,Population aged 60+ years old (percentage),9.6817
12,Algeria,2019,Population density,18.0763
16,American Samoa,2000,Population mid-year estimates (millions),0.0575
16,American Samoa,2000,Sex ratio (males per 100 females),104.4136
16,American Samoa,2000,Population aged 0 to 14 years old (percentage),38.7705
16,American Samoa,2000,Population aged 60+ years old (percentage),5.4197
